HEADER,SAMPLE,4
HEADER,HEURISTICS,EXPERIENCE,0.8578959,CURIOSITY,0.2937284,ACHIEVEMENT,0.4180322,COMPLETION,0.7445828,AGGRESSION,0.587666,ADRENALINE,0.5351259,CAUTION,0.7849246,EFFICIENCY,0.1716996,
HEADER,Low,1,Med,1,High,1,
POSITION,53.53895,-118.693,0.3985095,36.30046,0,270.8469,0,84.28305
INTERACTION,53.53895,Robot Kyle (5),-119.6333,0.3634648,36.31437,84.28305
COMBAT,53.53895,High,0,0,-9.641907,74.64114,0,53.53895,
POSITION,53.76039,-119.468,0.3985095,36.31192,0,270.8471,0,74.64114
POSITION,54.00649,-119.6311,0.3985095,36.31003,0,251.0178,0,74.64114
POSITION,54.25815,-119.1543,0.3985095,36.26646,0,220.8192,0,74.64114
POSITION,54.50599,-118.3123,0.3985095,36.19518,0,191.079,0,74.64114
POSITION,54.77571,-117.3716,0.3985095,36.11577,0,158.7115,0,74.64114
POSITION,55.00794,-116.5606,0.3985095,36.0721,0,130.8445,0,74.64114
POSITION,55.27499,-115.6262,0.4025882,36.06422,0,103.5923,0,74.64114
POSITION,55.51015,-114.8033,0.4065877,36.05729,0,94.89767,0,74.64114
POSITION,55.76136,-113.9244,0.4108599,36.04988,0,91.88291,0,74.64114
POSITION,56.00829,-113.0607,0.4150582,36.04261,0,90.93452,0,74.64114
POSITION,56.26039,-112.1791,0.4193435,36.03518,0,90.62502,0,74.64114
POSITION,56.50868,-111.3112,0.4260409,36.02787,0,90.52817,0,74.64114
POSITION,56.76287,-110.4716,0.4274297,36.02079,0,103.2865,0,74.64114
POSITION,57.0153,-110.0657,0.4350069,36.01738,0,133.3253,0,74.64114
POSITION,57.26185,-110.0425,0.4350102,36.01719,0,149.9462,0,74.64114
POSITION,57.51252,-110.0425,0.4350102,36.01719,0,149.9462,0,74.64114
POSITION,57.7606,-110.0425,0.4350102,36.01719,0,128.1432,0,74.64114
POSITION,58.0086,-110.0425,0.4350102,36.01719,0,67.77444,0,74.64114
POSITION,58.25702,-110.0425,0.4350102,36.01719,0,31.4328,0,74.64114
POSITION,58.50567,-110.0425,0.4350102,36.01719,0,31.4328,0,74.64114
POSITION,58.75541,-110.0425,0.4350102,36.01719,0,40.78896,0,74.64114
